Domain name,CNAME name,Type,CNAME value
rjasti.com,_96c9e727a154a0c98b3c543ad3c65085.rjasti.com.,CNAME,_81c3ab15189d45ef75a645e37e71d48b.jkddzztszm.acm-validations.aws.
www.rjasti.com,_2bc53d3ed71d8c2d65a8ed0336b6e1d3.www.rjasti.com.,CNAME,_96c7c9b8674aab9ce4f67f2e525ea598.jkddzztszm.acm-validations.aws.
